n,S,rep,eps,order,rank,top1,top3,top5,top10,top20,original_tree_mass,hybrid_leakage,ml_true,ensemble_eff
50,50,2,0.15,1,1,True,True,True,True,True,0.4946710529691654,0.5053289470308345,1,9.546432405021264
50,50,2,0.15,2,1,True,True,True,True,True,0.5106700956870845,0.4893299043129154,1,9.546432405021264
50,200,0,0.15,0,1,True,True,True,True,True,0.5356827469275379,0.4643172530724621,1,1.3825887759710196
50,200,0,0.15,1,1,True,True,True,True,True,0.6037407457884187,0.3962592542115812,1,1.3825887759710196
50,200,0,0.15,2,1,True,True,True,True,True,0.6151082700666468,0.3848917299333532,1,1.3825887759710196
50,200,1,0.15,0,1,True,True,True,True,True,0.4841844253402939,0.5158155746597061,1,1.8143111016349147
50,200,1,0.15,1,1,True,True,True,True,True,0.5606565681755151,0.4393434318244849,1,1.8143111016349147
50,200,1,0.15,2,1,True,True,True,True,True,0.5651572388366326,0.4348427611633674,1,1.8143111016349147
50,200,2,0.15,0,1,True,True,True,True,True,0.4904085735475053,0.5095914264524948,1,1.4391602692485748
50,200,2,0.15,1,1,True,True,True,True,True,0.568391634991978,0.431608365008022,1,1.4391602692485748
50,200,2,0.15,2,1,True,True,True,True,True,0.5843312944677495,0.4156687055322505,1,1.4391602692485748
50,1000,0,0.15,0,1,True,True,True,True,True,0.4813084386210788,0.5186915613789211,1,1.382289416846654
50,1000,0,0.15,1,1,True,True,True,True,True,0.554078390153716,0.445921609846284,1,1.382289416846654
50,1000,0,0.15,2,1,True,True,True,True,True,0.5732203514777283,0.4267796485222717,1,1.382289416846654
50,1000,1,0.15,0,1,True,True,True,True,True,0.5946173729941686,0.4053826270058314,1,1.3822936209006744
50,1000,1,0.15,1,1,True,True,True,True,True,0.6493906482947517,0.3506093517052483,1,1.3822936209006744
50,1000,1,0.15,2,1,True,True,True,True,True,0.6526554199505591,0.3473445800494409,1,1.3822936209006744
50,1000,2,0.15,0,1,True,True,True,True,True,0.4953659476967098,0.5046340523032902,1,1.382291955300943
50,1000,2,0.15,1,1,True,True,True,True,True,0.5555113117735955,0.4444886882264045,1,1.382291955300943
50,1000,2,0.15,2,1,True,True,True,True,True,0.5741592372739235,0.4258407627260765,1,1.382291955300943
100,50,0,0.15,0,2,False,True,True,True,True,0.3259935458301733,0.6740064541698266,0,4.240707650229947
100,50,0,0.15,1,1,True,True,True,True,True,0.360523952170043,0.6394760478299569,0,4.240707650229947
100,50,0,0.15,2,1,True,True,True,True,True,0.3717016417668483,0.6282983582331516,0,4.240707650229947
100,200,0,0.15,0,1,True,True,True,True,True,0.4421890515913281,0.5578109484086718,1,1.382605124986081
100,200,0,0.15,1,1,True,True,True,True,True,0.507820400219168,0.492179599780832,1,1.382605124986081
100,200,0,0.15,2,1,True,True,True,True,True,0.5119223630020691,0.4880776369979309,1,1.382605124986081
100,1000,0,0.15,0,1,True,True,True,True,True,0.3749311813165817,0.6250688186834182,1,1.3822894814267326
100,1000,0,0.15,1,1,True,True,True,True,True,0.4487464258589161,0.5512535741410838,1,1.3822894814267326
100,1000,0,0.15,2,1,True,True,True,True,True,0.4593843073393947,0.5406156926606053,1,1.3822894814267326
100,50,1,0.05,0,1,True,True,True,True,True,0.627541960835021,0.372458039164979,1,5.203436736122196
100,50,1,0.05,1,1,True,True,True,True,True,0.6595301441400127,0.3404698558599873,1,5.203436736122196
100,50,1,0.05,2,1,True,True,True,True,True,0.6646408198254478,0.3353591801745522,1,5.203436736122196
