n,S,rep,ncand,tref,kind,metric,true_rank,top_rf,corr_neg_rf,candidate_gen_s,score_s,unique_units
20,5000,2,200,0.1,single,sum_balance_sqrt,18,4,0.9732742834692839,1.120495319366455,0.2155132293701172,540
20,5000,2,200,0.1,single,flow_z_mean,72,4,0.9419238619823134,1.120495319366455,0.2155132293701172,540
20,5000,2,200,0.1,single,bottleneck_raw,11,2,0.8563663132048085,1.120495319366455,0.2155132293701172,540
20,5000,2,200,0.1,single,bottleneck_z,62,36,0.09868763412786623,1.120495319366455,0.2155132293701172,540
20,5000,2,200,0.1,single,q10_z,96,6,0.5347075583605889,1.120495319366455,0.2155132293701172,540
20,5000,2,200,0.1,single,q20_z,79,6,0.5739440346903836,1.120495319366455,0.2155132293701172,540
30,5000,1,180,0.1,single,sum_equal,26,2,0.9736137018361908,3.4146440029144287,0.34153056144714355,757
30,5000,1,180,0.1,single,sum_invflow,19,2,0.9710801361192867,3.4146440029144287,0.34153056144714355,757
30,5000,1,180,0.1,single,sum_sqrtinv,16,2,0.9728317908008871,3.4146440029144287,0.34153056144714355,757
30,5000,1,180,0.1,single,sum_balance,15,2,0.9714783185926493,3.4146440029144287,0.34153056144714355,757
30,5000,1,180,0.1,single,sum_balance_sqrt,16,2,0.9729369619493736,3.4146440029144287,0.34153056144714355,757
30,5000,1,180,0.1,single,flow_z_mean,41,16,0.9618114698270327,3.4146440029144287,0.34153056144714355,757
30,5000,1,180,0.1,single,bottleneck_raw,6,2,0.8958321049735279,3.4146440029144287,0.34153056144714355,757
30,5000,1,180,0.1,single,bottleneck_z,34,2,0.7057976409173498,3.4146440029144287,0.34153056144714355,757
30,5000,1,180,0.1,single,q10_z,39,16,0.8069393639474388,3.4146440029144287,0.34153056144714355,757
30,5000,1,180,0.1,single,q20_z,64,16,0.6184651554999635,3.4146440029144287,0.34153056144714355,757
30,5000,0,200,0.1,logmean,sum_equal,16,2,0.9778321492047373,3.9837167263031006,0.3743901252746582,802
30,5000,0,200,0.1,logmean,sum_invflow,24,2,0.9733508333186289,3.9837167263031006,0.3743901252746582,802
30,5000,0,200,0.1,logmean,sum_sqrtinv,15,2,0.9754285673444103,3.9837167263031006,0.3743901252746582,802
30,5000,0,200,0.1,logmean,sum_balance,23,4,0.9742850478183832,3.9837167263031006,0.3743901252746582,802
30,5000,0,200,0.1,logmean,sum_balance_sqrt,19,4,0.9762675458669796,3.9837167263031006,0.3743901252746582,802
30,5000,0,200,0.1,logmean,flow_z_mean,27,2,0.9705132454848271,3.9837167263031006,0.3743901252746582,802
30,5000,0,200,0.1,logmean,bottleneck_raw,13,2,0.9454722777579965,3.9837167263031006,0.3743901252746582,802
30,5000,0,200,0.1,logmean,bottleneck_z,24,12,0.37111496309345066,3.9837167263031006,0.3743901252746582,802
30,5000,0,200,0.1,logmean,q10_z,39,14,0.5476842503503808,3.9837167263031006,0.3743901252746582,802
30,5000,0,200,0.1,logmean,q20_z,25,14,0.8410849270008552,3.9837167263031006,0.3743901252746582,802
30,5000,0,200,0.1,wide,sum_equal,15,2,0.9778420854509096,3.4767487049102783,0.3478853702545166,802
30,5000,0,200,0.1,wide,sum_invflow,24,2,0.9733277853815563,3.4767487049102783,0.3478853702545166,802
30,5000,0,200,0.1,wide,sum_sqrtinv,15,2,0.9754027332926452,3.4767487049102783,0.3478853702545166,802
30,5000,0,200,0.1,wide,sum_balance,21,4,0.9742750369178461,3.4767487049102783,0.3478853702545166,802
30,5000,0,200,0.1,wide,sum_balance_sqrt,19,4,0.9762561305541384,3.4767487049102783,0.3478853702545166,802
30,5000,0,200,0.1,wide,flow_z_mean,27,2,0.9704970266983216,3.4767487049102783,0.3478853702545166,802
30,5000,0,200,0.1,wide,bottleneck_raw,13,2,0.9461449373381973,3.4767487049102783,0.3478853702545166,802
30,5000,0,200,0.1,wide,bottleneck_z,25,12,0.3625029317362137,3.4767487049102783,0.3478853702545166,802
