eps,n,S,order,cases,max_rank,p95,top1,top3,top5,top10,orig_mass,hybrid,ml_true,eff
0.05,100,50,0,5,4,4.0,0.4,0.8,1.0,1.0,0.5707455074566292,0.42925449254337067,0.4,4.9333546014046465
0.05,100,50,1,5,4,4.0,0.4,0.8,1.0,1.0,0.5905109764003251,0.4094890235996749,0.4,4.9333546014046465
0.05,100,50,2,5,2,2.0,0.4,1.0,1.0,1.0,0.6484934563591763,0.3515065436408237,0.4,4.9333546014046465
0.05,100,200,0,3,1,1.0,1.0,1.0,1.0,1.0,0.724345872535173,0.275654127464827,1.0,1.1769226898820984
0.05,100,200,1,3,1,1.0,1.0,1.0,1.0,1.0,0.7627025346619681,0.23729746533803184,1.0,1.1769226898820984
0.05,100,200,2,3,1,1.0,1.0,1.0,1.0,1.0,0.7711465180936616,0.2288534819063384,1.0,1.1769226898820984
0.05,100,1000,0,3,1,1.0,1.0,1.0,1.0,1.0,0.7493111417324836,0.25068885826751647,1.0,1.1079403057516624
0.05,100,1000,1,3,1,1.0,1.0,1.0,1.0,1.0,0.7887581922607186,0.21124180773928125,1.0,1.1079403057516624
0.05,100,1000,2,3,1,1.0,1.0,1.0,1.0,1.0,0.7970845947363739,0.20291540526362595,1.0,1.1079403057516624
0.15,20,50,0,5,2,2.0,0.6,1.0,1.0,1.0,0.5404231478220763,0.45957685217792354,0.6,12.641767115098911
0.15,20,50,1,5,2,2.0,0.6,1.0,1.0,1.0,0.5990155256385072,0.4009844743614927,0.6,12.641767115098911
0.15,20,50,2,5,2,2.0,0.6,1.0,1.0,1.0,0.6265182152421657,0.37348178475783433,0.6,12.641767115098911
0.15,20,200,0,5,1,1.0,1.0,1.0,1.0,1.0,0.7761394812581262,0.2238605187418739,0.8,2.2994774484469316
0.15,20,200,1,5,1,1.0,1.0,1.0,1.0,1.0,0.8208996007974667,0.1791003992025332,0.8,2.2994774484469316
0.15,20,200,2,5,1,1.0,1.0,1.0,1.0,1.0,0.8362912167062844,0.16370878329371558,0.8,2.2994774484469316
0.15,20,1000,0,5,1,1.0,1.0,1.0,1.0,1.0,0.7674169650690382,0.2325830349309618,1.0,1.3826817625156078
0.15,20,1000,1,5,1,1.0,1.0,1.0,1.0,1.0,0.8166973131366598,0.1833026868633402,1.0,1.3826817625156078
0.15,20,1000,2,5,1,1.0,1.0,1.0,1.0,1.0,0.8266191169032698,0.17338088309673022,1.0,1.3826817625156078
0.15,50,50,0,3,2,2.0,0.3333333333333333,1.0,1.0,1.0,0.41678539948962595,0.583214600510374,0.3333333333333333,8.154374105979754
0.15,50,50,1,3,2,2.0,0.3333333333333333,1.0,1.0,1.0,0.48414533278196387,0.5158546672180361,0.3333333333333333,8.154374105979754
0.15,50,50,2,3,2,2.0,0.3333333333333333,1.0,1.0,1.0,0.5020144967469262,0.4979855032530738,0.3333333333333333,8.154374105979754
0.15,50,200,0,3,1,1.0,1.0,1.0,1.0,1.0,0.5034252486051124,0.49657475139488766,1.0,1.5453533822848364
0.15,50,200,1,3,1,1.0,1.0,1.0,1.0,1.0,0.5775963163186373,0.4224036836813627,1.0,1.5453533822848364
0.15,50,200,2,3,1,1.0,1.0,1.0,1.0,1.0,0.5881989344570097,0.4118010655429904,1.0,1.5453533822848364
0.15,50,1000,0,3,1,1.0,1.0,1.0,1.0,1.0,0.5237639197706524,0.47623608022934755,1.0,1.3822916643494239
0.15,50,1000,1,3,1,1.0,1.0,1.0,1.0,1.0,0.5863267834073543,0.4136732165926456,1.0,1.3822916643494239
0.15,50,1000,2,3,1,1.0,1.0,1.0,1.0,1.0,0.6000116695674036,0.3999883304325964,1.0,1.3822916643494239
0.15,100,50,0,5,2,2.0,0.4,1.0,1.0,1.0,0.32560202094917257,0.6743979790508273,0.4,6.200729636461064
0.15,100,50,1,5,2,2.0,0.6,1.0,1.0,1.0,0.3713739363819781,0.6286260636180219,0.4,6.200729636461064
