step,parsimony_before,parsimony_after,parsimony_diff,logl_before,logl_after,logl_diff,rf_before,rf_after,rf_diff
298,114014,114022,8,-468162,-468484,-321.467,194,194,0
299,114022,114034,12,-468484,-468220,263.558,194,194,0
300,114034,114085,51,-468220,-468965,-744.759,194,194,0
301,114085,114172,87,-468965,-469147,-181.899,194,194,0
302,114172,114242,70,-469147,-469661,-513.913,194,194,0
303,114242,115235,993,-469661,-470732,-1071.53,194,194,0
304,115235,115125,-110,-470732,-471105,-373.078,194,194,0
305,115125,115014,-111,-471105,-471472,-366.651,194,194,0
307,115014,115042,28,-471472,-471240,232.021,194,194,0
308,115042,115060,18,-471240,-471044,195.64,194,194,0
309,115060,114988,-72,-471044,-471608,-563.913,194,194,0
310,114988,115012,24,-471608,-472170,-561.448,194,194,0
311,115012,115005,-7,-472170,-472202,-31.8303,194,194,0
312,115005,114860,-145,-472202,-471363,838.942,194,194,0
313,114860,114818,-42,-471363,-471428,-65.0654,194,194,0
314,114818,114261,-557,-471428,-470705,722.62,194,194,0
315,114261,114194,-67,-470705,-469649,1056.59,194,194,0
316,114194,114131,-63,-469649,-468415,1233.59,194,194,0
317,114131,114026,-105,-468415,-467920,495.31,194,194,0
318,114026,113971,-55,-467920,-467434,485.549,194,194,0
319,113971,114251,280,-467434,-468998,-1564.36,194,194,0
320,114251,114136,-115,-468998,-468180,818.478,194,194,0
321,114136,114061,-75,-468180,-468177,2.65301,194,194,0
322,114061,114057,-4,-468177,-467688,488.883,194,194,0
323,114057,114172,115,-467688,-468505,-816.48,194,194,0
324,114172,114210,38,-468505,-468803,-298.18,194,194,0
325,114210,114215,5,-468803,-468997,-193.544,194,194,0
326,114215,114218,3,-468997,-469386,-389.372,194,194,0
327,114218,114225,7,-469386,-467944,1441.93,194,194,0
328,114225,114171,-54,-467944,-467142,801.904,194,194,0
329,114171,114156,-15,-467142,-467210,-67.7172,194,194,0
330,114156,114181,25,-467210,-467575,-364.765,194,194,0
331,114181,114264,83,-467575,-467915,-340.472,194,194,0
332,114264,114282,18,-467915,-468165,-249.365,194,194,0
333,114282,115201,919,-468165,-469939,-1774.76,194,194,0
334,115201,115196,-5,-469939,-469564,375.216,194,194,0
335,115196,115047,-149,-469564,-469270,293.71,194,194,0
336,115047,114902,-145,-469270,-468537,733.388,194,194,0
338,114902,114999,97,-468537,-469109,-571.548,194,194,0
339,114999,114811,-188,-469109,-470193,-1084.56,194,194,0
341,114811,114798,-13,-470193,-470529,-335.652,194,194,0
342,114798,114850,52,-470529,-470997,-468.061,194,194,0
344,114850,114751,-99,-470997,-470825,171.614,194,194,0
345,114751,114737,-14,-470825,-470772,52.7054,194,194,0
346,114737,114817,80,-470772,-470796,-23.5404,194,194,0
347,114817,114832,15,-470796,-471181,-385.24,194,194,0
349,114832,114882,50,-471181,-471070,111.474,194,194,0
352,114882,114854,-28,-471070,-471300,-230.62,194,194,0
353,114854,114938,84,-471300,-472971,-1670.36,194,194,0
354,114938,114929,-9,-472971,-469115,3855.29,194,194,0
355,114929,115017,88,-469115,-469599,-483.903,194,194,0
356,115017,114850,-167,-469599,-468867,731.98,194,194,0
357,114850,114833,-17,-468867,-468324,543.38,194,194,0
358,114833,114794,-39,-468324,-466731,1593.47,194,194,0
359,114794,114833,39,-466731,-467287,-556.687,194,194,0
360,114833,114885,52,-467287,-467346,-59.0231,194,194,0
361,114885,114894,9,-467346,-467576,-229.564,194,194,0
362,114894,114787,-107,-467576,-467893,-316.925,194,194,0
363,114787,114489,-298,-467893,-467215,677.643,194,194,0
364,114489,114478,-11,-467215,-467074,141.409,194,194,0
365,114478,114384,-94,-467074,-466467,606.611,194,194,0
366,114384,114235,-149,-466467,-465820,646.871,194,194,0
367,114235,114058,-177,-465820,-465372,448.03,194,194,0
368,114058,113984,-74,-465372,-465185,187.265,194,194,0
369,113984,114093,109,-465185,-466010,-825.331,194,194,0
370,114093,113660,-433,-466010,-464302,1707.83,194,194,0
371,113660,113659,-1,-464302,-464601,-298.969,194,194,0
372,113659,113604,-55,-464601,-464469,132.316,194,194,0
373,113604,113604,0,-464469,-464576,-107.299,194,194,0
374,113604,113560,-44,-464576,-464890,-313.619,194,194,0
375,113560,113582,22,-464890,-464610,279.915,194,194,0
376,113582,113477,-105,-464610,-464477,133.386,194,194,0
377,113477,113627,150,-464477,-464636,-159.62,194,194,0
378,113627,113680,53,-464636,-464751,-114.973,194,194,0
379,113680,113604,-76,-464751,-465128,-376.884,194,194,0
380,113604,113708,104,-465128,-464748,379.746,194,194,0
381,113708,113467,-241,-464748,-464077,671.391,194,194,0
382,113467,113481,14,-464077,-464748,-670.763,194,194,0
383,113481,113377,-104,-464748,-465986,-1238.42,194,194,0
388,113377,113164,-213,-465986,-465606,379.858,194,194,0
389,113164,113160,-4,-465606,-465619,-12.2502,194,194,0
390,113160,113053,-107,-465619,-465542,76.4198,194,194,0
391,113053,113330,277,-465542,-465999,-456.807,194,194,0
393,113330,113447,117,-465999,-466669,-669.727,194,194,0
394,113447,113109,-338,-466669,-465705,964.141,194,194,0
395,113109,113047,-62,-465705,-466578,-873.668,194,194,0
396,113047,113277,230,-466578,-467744,-1165.76,194,194,0
397,113277,113293,16,-467744,-467015,728.93,194,194,0
398,113293,113186,-107,-467015,-466700,315.031,194,194,0
399,113186,113208,22,-466700,-466709,-8.63715,194,194,0
400,113208,113221,13,-466709,-466593,115.188,194,194,0
401,113221,113109,-112,-466593,-464940,1653.78,194,194,0
402,113109,113138,29,-464940,-464905,34.3267,194,194,0
403,113138,113116,-22,-464905,-464898,7.39733,194,194,0
404,113116,112914,-202,-464898,-465070,-172.375,194,194,0
405,112914,112939,25,-465070,-465464,-393.77,194,194,0
406,112939,113308,369,-465464,-466393,-928.785,194,194,0
407,113308,113341,33,-466393,-466872,-479.603,194,194,0
408,113341,113229,-112,-466872,-466383,489.965,194,194,0
409,113229,113183,-46,-466383,-467250,-867.772,194,194,0
410,113183,113117,-66,-467250,-467627,-376.696,194,194,0
411,113117,113161,44,-467627,-468661,-1033.88,194,194,0
412,113161,113276,115,-468661,-469814,-1153.2,194,194,0
413,113276,113233,-43,-469814,-469359,454.644,194,194,0
414,113233,113226,-7,-469359,-470918,-1558.67,194,194,0
415,113226,113234,8,-470918,-472197,-1278.53,194,194,0
416,113234,113052,-182,-472197,-471567,630.038,194,194,0
417,113052,113061,9,-471567,-472341,-774.138,194,194,0
419,113061,113086,25,-472341,-472790,-448.953,194,194,0
420,113086,112550,-536,-472790,-471675,1115.01,194,194,0
421,112550,112277,-273,-471675,-471270,404.957,194,194,0
422,112277,112176,-101,-471270,-470942,327.385,194,194,0
423,112176,112151,-25,-470942,-471052,-109.35,194,194,0
424,112151,112140,-11,-471052,-471088,-36.4482,194,194,0
425,112140,112215,75,-471088,-472487,-1399.23,194,194,0
426,112215,112045,-170,-472487,-471957,530.369,194,194,0
427,112045,112471,426,-471957,-473464,-1507.35,194,194,0
428,112471,112570,99,-473464,-473260,204.382,194,194,0
429,112570,112549,-21,-473260,-472805,455.107,194,194,0
430,112549,112546,-3,-472805,-473086,-281.587,194,194,0
431,112546,112330,-216,-473086,-471660,1426.52,194,194,0
432,112330,112607,277,-471660,-472185,-524.86,194,194,0
433,112607,112602,-5,-472185,-471774,410.951,194,194,0
434,112602,112658,56,-471774,-471372,401.562,194,194,0
435,112658,112626,-32,-471372,-471623,-250.254,194,194,0
436,112626,112611,-15,-471623,-472087,-464.182,194,194,0
437,112611,113348,737,-472087,-474263,-2176.45,194,194,0
438,113348,113209,-139,-474263,-473994,269.091,194,194,0
439,113209,113261,52,-473994,-474319,-325.31,194,194,0
440,113261,113460,199,-474319,-472116,2203.83,194,194,0
441,113460,113466,6,-472116,-472655,-539.064,194,194,0
442,113466,113617,151,-472655,-472910,-255.596,194,194,0
444,113617,113499,-118,-472910,-471878,1032.5,194,194,0
445,113499,113476,-23,-471878,-471819,58.5743,194,194,0
446,113476,113547,71,-471819,-467889,3929.94,194,194,0
