step,logl_before_a,logl_after_a,logl_diff_a,logl_before_b,logl_after_b,logl_diff_b,logl_before_c,logl_after_c,logl_diff_c,logl_before_d,logl_after_d,logl_diff_d
68,-1.1696e+06,-1.17063e+06,-1026.04,-1.12389e+06,-1.12348e+06,402.256,-1.10598e+06,-1.10588e+06,98.351,-1.10564e+06,-1.10548e+06,160.045
69,-1.17063e+06,-1.16873e+06,1895.05,-1.12348e+06,-1.12304e+06,441.07,-1.10588e+06,-1.10578e+06,98.9794,-1.10548e+06,-1.10541e+06,64.9223
70,-1.16873e+06,-1.16936e+06,-629.355,-1.12304e+06,-1.12307e+06,-25.0327,-1.10578e+06,-1.10604e+06,-261.948,-1.10541e+06,-1.10567e+06,-261.916
71,-1.16936e+06,-1.17478e+06,-5416.56,-1.12307e+06,-1.12971e+06,-6641.32,-1.10604e+06,-1.10676e+06,-719.675,-1.10567e+06,-1.10633e+06,-653.854
72,-1.17478e+06,-1.17551e+06,-731.138,-1.12971e+06,-1.1299e+06,-186.483,-1.10676e+06,-1.10667e+06,91.4083,-1.10633e+06,-1.10646e+06,-136.224
73,-1.17551e+06,-1.17587e+06,-366.888,-1.1299e+06,-1.13024e+06,-342.018,-1.10667e+06,-1.10695e+06,-282.349,-1.10646e+06,-1.10688e+06,-414.871
74,-1.17587e+06,-1.17689e+06,-1011.99,-1.13024e+06,-1.13127e+06,-1027.51,-1.10695e+06,-1.10741e+06,-460.842,-1.10688e+06,-1.10738e+06,-501.168
75,-1.17689e+06,-1.17743e+06,-544.071,-1.13127e+06,-1.13137e+06,-101.039,-1.10741e+06,-1.10742e+06,-12.2366,-1.10738e+06,-1.10742e+06,-36.4667
76,-1.17743e+06,-1.1785e+06,-1068.05,-1.13137e+06,-1.13131e+06,57.3874,-1.10742e+06,-1.10746e+06,-34.4625,-1.10742e+06,-1.10742e+06,-6.37987
77,-1.1785e+06,-1.18318e+06,-4679.02,-1.13131e+06,-1.13386e+06,-2548.42,-1.10746e+06,-1.10747e+06,-14.7587,-1.10742e+06,-1.10747e+06,-45.227
78,-1.18318e+06,-1.18322e+06,-38.7457,-1.13386e+06,-1.13359e+06,264.148,-1.10747e+06,-1.10764e+06,-169.061,-1.10747e+06,-1.10758e+06,-109.438
79,-1.18322e+06,-1.18297e+06,250.843,-1.13359e+06,-1.13411e+06,-513.857,-1.10764e+06,-1.11466e+06,-7022.2,-1.10758e+06,-1.11302e+06,-5441.68
80,-1.18297e+06,-1.18318e+06,-213.523,-1.13411e+06,-1.13418e+06,-75.376,-1.11466e+06,-1.11319e+06,1474.01,-1.11302e+06,-1.11291e+06,105.73
81,-1.18318e+06,-1.18264e+06,535.383,-1.13418e+06,-1.13401e+06,170.236,-1.11319e+06,-1.113e+06,191.095,-1.11291e+06,-1.11291e+06,2.41197
82,-1.18264e+06,-1.18123e+06,1414.25,-1.13401e+06,-1.13402e+06,-7.03622,-1.113e+06,-1.11289e+06,107.404,-1.11291e+06,-1.11286e+06,49.1393
83,-1.18123e+06,-1.18001e+06,1223.34,-1.13402e+06,-1.13347e+06,544.903,-1.11289e+06,-1.11297e+06,-80.3822,-1.11286e+06,-1.11295e+06,-92.0771
84,-1.18001e+06,-1.18017e+06,-166.31,-1.13347e+06,-1.13378e+06,-307.08,-1.11297e+06,-1.11323e+06,-253.538,-1.11295e+06,-1.1131e+06,-146.059
85,-1.18017e+06,-1.18061e+06,-435.338,-1.13378e+06,-1.13376e+06,26.3838,-1.11323e+06,-1.11314e+06,89.479,-1.1131e+06,-1.1131e+06,-6.25299e-05
86,-1.18061e+06,-1.1806e+06,10.443,-1.13376e+06,-1.1337e+06,57.2442,-1.11314e+06,-1.11311e+06,27.4413,-1.1131e+06,-1.1131e+06,-0.00625077
87,-1.1806e+06,-1.18211e+06,-1516.51,-1.1337e+06,-1.13403e+06,-331.632,-1.11311e+06,-1.1132e+06,-87.4689,-1.1131e+06,-1.11313e+06,-31.7057
88,-1.18211e+06,-1.183e+06,-884.938,-1.13403e+06,-1.13444e+06,-407.691,-1.1132e+06,-1.11344e+06,-241.067,-1.11313e+06,-1.11339e+06,-260.211
89,-1.183e+06,-1.18212e+06,874.859,-1.13444e+06,-1.13423e+06,206.812,-1.11344e+06,-1.11318e+06,254.15,-1.11339e+06,-1.11318e+06,216.532
90,-1.18212e+06,-1.18903e+06,-6905.29,-1.13423e+06,-1.14481e+06,-10575.5,-1.11318e+06,-1.11729e+06,-4107.27,-1.11318e+06,-1.11692e+06,-3742.39
91,-1.18903e+06,-1.18711e+06,1918.2,-1.14481e+06,-1.14471e+06,98.3024,-1.11729e+06,-1.11693e+06,356.229,-1.11692e+06,-1.11692e+06,1.77559
92,-1.18711e+06,-1.19021e+06,-3095.41,-1.14471e+06,-1.14608e+06,-1367.78,-1.11693e+06,-1.11841e+06,-1472.94,-1.11692e+06,-1.1182e+06,-1289.14
93,-1.19021e+06,-1.19184e+06,-1635.43,-1.14608e+06,-1.14603e+06,46.6323,-1.11841e+06,-1.11818e+06,224.985,-1.1182e+06,-1.11817e+06,36.5773
94,-1.19184e+06,-1.19276e+06,-914.102,-1.14603e+06,-1.14614e+06,-114.766,-1.11818e+06,-1.11816e+06,17.878,-1.11817e+06,-1.11816e+06,12.7675
95,-1.19276e+06,-1.19327e+06,-510.193,-1.14614e+06,-1.1462e+06,-56.334,-1.11816e+06,-1.11824e+06,-70.3892,-1.11816e+06,-1.11818e+06,-23.7263
96,-1.19327e+06,-1.19392e+06,-653.283,-1.1462e+06,-1.1463e+06,-103.746,-1.11824e+06,-1.11823e+06,8.98245,-1.11818e+06,-1.11818e+06,2.97259
97,-1.19392e+06,-1.19487e+06,-946.702,-1.1463e+06,-1.14534e+06,964.58,-1.11823e+06,-1.1179e+06,330.731,-1.11818e+06,-1.11783e+06,341.668
98,-1.19487e+06,-1.19482e+06,41.9474,-1.14534e+06,-1.14502e+06,316.592,-1.1179e+06,-1.11775e+06,148.613,-1.11783e+06,-1.11772e+06,115.023
99,-1.19482e+06,-1.19437e+06,450.551,-1.14502e+06,-1.14493e+06,89.0692,-1.11775e+06,-1.11765e+06,92.9288,-1.11772e+06,-1.11759e+06,130.814
100,-1.19437e+06,-1.19497e+06,-598.611,-1.14493e+06,-1.14493e+06,1.28633,-1.11765e+06,-1.11753e+06,121.859,-1.11759e+06,-1.11736e+06,232.184
101,-1.19497e+06,-1.19701e+06,-2041.8,-1.14493e+06,-1.14497e+06,-33.8574,-1.11753e+06,-1.1174e+06,127.927,-1.11736e+06,-1.11728e+06,76.7835
102,-1.19701e+06,-1.19536e+06,1652.53,-1.14497e+06,-1.13914e+06,5824.04,-1.1174e+06,-1.11672e+06,688.21,-1.11728e+06,-1.11667e+06,608.552
103,-1.19536e+06,-1.19496e+06,405.156,-1.13914e+06,-1.13897e+06,172.05,-1.11672e+06,-1.11654e+06,172.927,-1.11667e+06,-1.11651e+06,164.798
104,-1.19496e+06,-1.19304e+06,1914.59,-1.13897e+06,-1.13927e+06,-296.457,-1.11654e+06,-1.11692e+06,-379.642,-1.11651e+06,-1.11689e+06,-379.463
