parent_unit,parent_port,child_unit,option_index,edge_flow,parent_upper_flow,child_upper_flow,connection_kind,router_count,router_stage,switch_id,switch_state
S_m0004_a0001_j0004,left,R_m0001_L001_W00045,1,1,4,1,compact_benes_enter,1,0,R1_S0_P44,cross
S_m0004_a0001_j0005,left,R_m0001_L001_W00045,0,1,4,1,compact_benes_enter,1,0,R1_S0_P44,straight
S_m0004_a0001_j0005,left,R_m0001_L001_W00044,1,1,4,1,compact_benes_enter,1,0,R1_S0_P44,cross
S_m0004_a0001_j0006,left,R_m0001_L001_W00046,0,1,4,1,compact_benes_enter,1,0,R1_S0_P46,straight
S_m0004_a0001_j0006,left,R_m0001_L001_W00047,1,1,4,1,compact_benes_enter,1,0,R1_S0_P46,cross
S_m0005_a0001_j0000,left,R_m0001_L001_W00047,0,1,5,1,compact_benes_enter,1,0,R1_S0_P46,straight
S_m0005_a0001_j0000,left,R_m0001_L001_W00046,1,1,5,1,compact_benes_enter,1,0,R1_S0_P46,cross
S_m0005_a0001_j0001,left,R_m0001_L001_W00048,0,1,5,1,compact_benes_enter,1,0,R1_S0_P48,straight
S_m0005_a0001_j0001,left,R_m0001_L001_W00049,1,1,5,1,compact_benes_enter,1,0,R1_S0_P48,cross
S_m0005_a0001_j0002,left,R_m0001_L001_W00049,0,1,5,1,compact_benes_enter,1,0,R1_S0_P48,straight
S_m0005_a0001_j0002,left,R_m0001_L001_W00048,1,1,5,1,compact_benes_enter,1,0,R1_S0_P48,cross
S_m0005_a0001_j0003,left,R_m0001_L001_W00050,0,1,5,1,compact_benes_enter,1,0,R1_S0_P50,straight
S_m0005_a0001_j0003,left,R_m0001_L001_W00051,1,1,5,1,compact_benes_enter,1,0,R1_S0_P50,cross
S_m0005_a0001_j0004,left,R_m0001_L001_W00051,0,1,5,1,compact_benes_enter,1,0,R1_S0_P50,straight
S_m0005_a0001_j0004,left,R_m0001_L001_W00050,1,1,5,1,compact_benes_enter,1,0,R1_S0_P50,cross
S_m0005_a0001_j0005,left,R_m0001_L001_W00052,0,1,5,1,compact_benes_enter,1,0,R1_S0_P52,straight
S_m0005_a0001_j0005,left,R_m0001_L001_W00053,1,1,5,1,compact_benes_enter,1,0,R1_S0_P52,cross
S_m0006_a0001_j0000,left,R_m0001_L001_W00053,0,1,6,1,compact_benes_enter,1,0,R1_S0_P52,straight
S_m0006_a0001_j0000,left,R_m0001_L001_W00052,1,1,6,1,compact_benes_enter,1,0,R1_S0_P52,cross
